date,kw_title,job_count
2026-03,AI Analyst,3
2026-03,AI Coach,3
2026-03,AI Developer,63
2026-03,AI Engineer,129
2026-03,Business Analyst,363
2026-03,Cloud architect,46
2026-03,Cloud engineer,89
2026-03,Data Analyst,155
2026-03,Data Architect,30
2026-03,Data Engineer,375
2026-03,Data Management,49
2026-03,Data Scientist,55
2026-03,Data Specialist,31
2026-03,Database SME,37
2026-03,ML Engineer,41
2026-03,Software Engineer,254
2026-04,AI Analyst,15
2026-04,AI Developer,50
2026-04,AI Engineer,93
2026-04,Business Analyst,371
2026-04,Cloud architect,53
2026-04,Cloud engineer,77
2026-04,Data Analyst,114
2026-04,Data Architect,26
2026-04,Data Engineer,335
2026-04,Data Management,38
2026-04,Data Scientist,43
2026-04,Data Specialist,40
2026-04,Database SME,9
2026-04,ML Engineer,44
2026-04,Software Engineer,279
2026-05,AI Developer,77
2026-05,AI Engineer,141
2026-05,Business Analyst,377
2026-05,Cloud architect,35
2026-05,Cloud engineer,72
2026-05,Data Analyst,135
2026-05,Data Architect,26
2026-05,Data Engineer,375
2026-05,Data Management,32
2026-05,Data Scientist,54
2026-05,Data Specialist,44
2026-05,Database SME,4
2026-05,ML Engineer,40
2026-05,Software Engineer,296
